ticker,cutoff_date,order,model_rmse,naive_rmse,model_mape,naive_mape,skill_vs_naive
MSFT,2025-04-01,"(0, 1, 1)",32.81675294221505,32.391776324375684,6.029883549760841,5.97259348937849,-0.013119892332658312
MSFT,2024-11-12,"(0, 1, 1)",16.39260138086805,15.925806449269313,3.08898977563849,3.001378959149382,-0.029310599314746444
PG,2026-05-26,"(0, 1, 1)",5.894130718887503,5.980180156980163,3.6358048920929504,3.6877175417428196,0.014389104647996587
PG,2026-01-06,"(0, 1, 1)",13.535470620336891,13.574857027873744,7.593945751903555,7.622687220173867,0.002901423378233625
PG,2025-08-19,"(0, 1, 1)",2.7852308633570306,2.9047140135418252,1.3644352006749694,1.4239872811277567,0.041134221691967676
PG,2025-04-01,"(0, 1, 1)",7.417356875464266,7.441979619406739,4.128151516201527,4.142911356750902,0.0033086282416392443
PG,2024-11-12,"(0, 1, 1)",7.568841267055849,7.5909659121346715,3.8844873407148595,3.899970034748132,0.0029146020855467247
UNH,2026-05-26,"(2, 1, 2)",34.33139260213924,33.661085213302705,7.375341126574439,7.19127765148091,-0.01991342182193323
UNH,2026-01-06,"(2, 1, 2)",48.557727853855596,48.080683348855494,13.783425281418712,13.619352798873155,-0.009921749687683112
UNH,2025-08-19,"(2, 1, 2)",31.46394661055012,30.738317801200736,7.479754119660822,7.261981655004289,-0.023606653234649055
UNH,2025-04-01,"(1, 1, 2)",97.69849838944799,97.33587002434803,21.3172063387315,21.250098531264037,-0.0037255367934683203
UNH,2024-11-12,"(2, 1, 2)",63.63341528126749,63.579391862534486,9.525293792746043,9.511849857512605,-0.0008497001489069511
V,2026-05-26,"(1, 1, 0)",13.858395393394058,13.949890800802581,2.718231451590211,2.724119361427234,0.0065588619090307665
V,2026-01-06,"(2, 1, 0)",29.10251236097969,29.16771451688643,8.491064340806982,8.513029941605458,0.002235422177798374
V,2025-08-19,"(2, 1, 0)",5.375918261584899,5.366054904492728,1.299905029147833,1.2988727568884173,-0.0018381021565607725
V,2025-04-01,"(1, 1, 0)",15.73278755477374,15.461036483140951,3.7718628606070967,3.706809940607061,-0.01757651059999188
V,2024-11-12,"(1, 1, 0)",4.384478970457034,4.418904646470327,1.0923874119063874,1.1010142069733422,0.007790545116376557
XOM,2026-05-26,"(0, 1, 0)",9.029426934090278,9.029426934090278,5.361687575151305,5.361687575151305,0.0
XOM,2026-01-06,"(0, 1, 0)",19.419511287758645,19.419511287758613,11.952095647506052,11.952095647506024,-1.5543122344752192e-15
XOM,2025-08-19,"(0, 1, 0)",5.5425967678984875,5.542596767898474,4.679695983353891,4.679695983353879,-2.4424906541753444e-15
XOM,2025-04-01,"(0, 1, 0)",12.662694539021498,12.662694539021526,12.069800459887595,12.069800459887622,2.220446049250313e-15
XOM,2024-11-12,"(0, 1, 0)",6.761444049077753,6.761444049077762,4.873334739261541,4.873334739261548,1.3322676295501878e-15
